,date,format,location,title,url
41,2017-04-06T00:00:00.000Z,event,atlanta,Tech Night Out at Dad's Garage!,http://generalassemb.ly/education/tech-night-out-at-dads-garage/atlanta/34497
42,2017-04-06T23:00:00.000Z,event,atlanta,How CSS Grid Is Reinventing Webpage Design,http://generalassemb.ly/education/how-css-grid-is-reinventing-webpage-design/atlanta/34844
43,2017-04-06T23:00:00.000Z,class,atlanta,Introduction to Google AdWords,http://generalassemb.ly/education/introduction-to-google-adwords/atlanta/35412
44,2017-04-13T22:00:00.000Z,event,atlanta,Atlanta Startup Battle,http://generalassemb.ly/education/atlanta-startup-battle/atlanta/34098
45,2017-04-14T13:00:00.000Z,workshop,atlanta,Product Management Bootcamp,http://generalassemb.ly/education/product-management-bootcamp/atlanta/34606
46,2017-04-14T13:00:00.000Z,workshop,atlanta,Excel Bootcamp: Formulas & Functions,http://generalassemb.ly/education/excel-bootcamp-formulas-functions/atlanta/34597
47,2017-04-15T14:00:00.000Z,workshop,atlanta,Digital Marketing Bootcamp,http://generalassemb.ly/education/digital-marketing-bootcamp--2/atlanta/35131
48,2017-04-18T23:00:00.000Z,class,atlanta,Coding 101: HTML & CSS,http://generalassemb.ly/education/coding-101-html-css/atlanta/35398
49,2017-04-19T22:30:00.000Z,workshop,atlanta,Blogging 101: How to Create a Successful Blog & Make Money Doing It,http://generalassemb.ly/education/blogging-101-how-to-create-a-successful-blog-make-money-doing-it/atlanta/34723
50,2017-04-24T13:00:00.000Z,immersive,atlanta,Web Development Immersive,http://generalassemb.ly/education/web-development-immersive/atlanta
51,2017-04-25T22:00:00.000Z,info-session,atlanta,Digital Marketing Info Session,http://generalassemb.ly/education/digital-marketing/atlanta/learn-more/6456
52,2017-04-25T23:00:00.000Z,workshop,atlanta,Copywriting 101,http://generalassemb.ly/education/copywriting-101/atlanta/35566
53,2017-04-29T14:00:00.000Z,workshop,atlanta,SQL Bootcamp,http://generalassemb.ly/education/sql-bootcamp/atlanta/35130
54,2017-05-01T23:00:00.000Z,course,atlanta,Product Management,http://generalassemb.ly/education/product-management/atlanta
55,2017-05-04T23:00:00.000Z,workshop,atlanta,Introduction to SQL,http://generalassemb.ly/education/introduction-to-sql/atlanta/35129
56,2017-05-05T14:00:00.000Z,workshop,atlanta,Code in One Day: HTML & CSS Crash Course,http://generalassemb.ly/education/code-in-one-day-html-css-crash-course/atlanta/34604
57,2017-05-06T14:00:00.000Z,workshop,atlanta,Fundamentals of Python Bootcamp,http://generalassemb.ly/education/fundamentals-of-python-bootcamp/atlanta/35125
58,2017-05-12T13:00:00.000Z,workshop,atlanta,Product Management Bootcamp,http://generalassemb.ly/education/product-management-bootcamp/atlanta/35135
59,2017-05-12T14:00:00.000Z,workshop,atlanta,Digital Marketing Bootcamp,http://generalassemb.ly/education/digital-marketing-bootcamp--2/atlanta/35133
60,2017-05-16T23:00:00.000Z,course,atlanta,Digital Marketing,http://generalassemb.ly/education/digital-marketing/atlanta
61,2017-05-20T14:00:00.000Z,class,atlanta,Coding 101: HTML & CSS,http://generalassemb.ly/education/coding-101-html-css/atlanta/35400
62,2017-05-31T23:00:00.000Z,workshop,atlanta,Copywriting 101,http://generalassemb.ly/education/copywriting-101/atlanta/35569
63,2017-06-05T13:00:00.000Z,immersive,atlanta,User Experience Design Immersive,http://generalassemb.ly/education/user-experience-design-immersive/atlanta
64,2017-06-05T23:00:00.000Z,course,atlanta,User Experience Design,http://generalassemb.ly/education/user-experience-design/atlanta
65,2017-06-05T23:00:00.000Z,course,atlanta,Data Analytics,http://generalassemb.ly/education/data-analytics/atlanta
66,2017-06-12T13:00:00.000Z,immersive,atlanta,Web Development Immersive,http://generalassemb.ly/education/web-development-immersive/atlanta
67,2017-06-26T13:00:00.000Z,immersive,atlanta,Data Science Immersive,http://generalassemb.ly/education/data-science-immersive/atlanta
68,2017-06-27T22:30:00.000Z,course,atlanta,Front-End Web Development,http://generalassemb.ly/education/front-end-web-development/atlanta
0,2017-03-13T13:00:00.000Z,immersive,washington-dc,User Experience Design Immersive,http://generalassemb.ly/education/user-experience-design-immersive/washington-dc
1,2017-03-13T22:30:00.000Z,info-session,washington-dc,Data Science Info Session,http://generalassemb.ly/education/data-science/washington-dc/learn-more/6418
2,2017-03-13T22:30:00.000Z,course,washington-dc,Front-End Web Development,http://generalassemb.ly/education/front-end-web-development/washington-dc
3,2017-03-14T22:30:00.000Z,info-session,washington-dc,User Experience Design Info Session,http://generalassemb.ly/education/user-experience-design/washington-dc/learn-more/6424
4,2017-03-14T22:30:00.000Z,workshop,washington-dc,Startup Jobs: Find Your Path,http://generalassemb.ly/education/startup-jobs-find-your-path/washington-dc/32580
5,2017-03-15T22:30:00.000Z,event,washington-dc,Data + Journalism,http://generalassemb.ly/education/data-journalism/washington-dc/33308
6,2017-03-15T22:30:00.000Z,workshop,washington-dc,Intro to SQL,http://generalassemb.ly/education/intro-to-sql--2/washington-dc/33635
7,2017-03-15T22:30:00.000Z,class,washington-dc,UX Design 101,http://generalassemb.ly/education/ux-design-101/washington-dc/33644
8,2017-03-16T22:30:00.000Z,info-session,washington-dc,User Experience Design Immersive Info Session,http://generalassemb.ly/education/user-experience-design-immersive/washington-dc/learn-more/6501
9,2017-03-17T22:00:00.000Z,event,washington-dc,How CSS Grid Is Reinventing Webpage Design,http://generalassemb.ly/education/how-css-grid-is-reinventing-webpage-design/washington-dc/34843
10,2017-03-18T14:00:00.000Z,workshop,washington-dc,Programming for Non-Programmers,http://generalassemb.ly/education/programming-for-non-programmers/washington-dc/33619
11,2017-03-18T14:00:00.000Z,workshop,washington-dc,Adobe InDesign Bootcamp,http://generalassemb.ly/education/adobe-indesign-bootcamp/washington-dc/33643
12,2017-03-18T16:00:00.000Z,class,washington-dc,Python Programming 101,http://generalassemb.ly/education/python-programming-101/washington-dc/35413
13,2017-03-19T14:00:00.000Z,workshop,washington-dc,Product Management Bootcamp,http://generalassemb.ly/education/product-management-bootcamp/washington-dc/33904
14,2017-03-20T13:00:00.000Z,immersive,washington-dc,Web Development Immersive,http://generalassemb.ly/education/web-development-immersive/washington-dc
15,2017-03-20T22:30:00.000Z,info-session,washington-dc,Visual Design Info Session,http://generalassemb.ly/education/visual-design/washington-dc/learn-more/6422
16,2017-03-20T22:30:00.000Z,course,washington-dc,Data Analytics,http://generalassemb.ly/education/data-analytics/washington-dc
17,2017-03-21T22:30:00.000Z,workshop,washington-dc,Email Marketing Essentials,http://generalassemb.ly/education/email-marketing-essentials/washington-dc/33640
18,2017-03-21T22:30:00.000Z,workshop,washington-dc,Design Thinking Workshop,http://generalassemb.ly/education/design-thinking-workshop/washington-dc/34118
19,2017-03-22T22:30:00.000Z,info-session,washington-dc,JavaScript Development Info Session,http://generalassemb.ly/education/javascript-development/washington-dc/learn-more/6428
20,2017-03-22T22:30:00.000Z,workshop,washington-dc,Python for Data Science (Intermediate),http://generalassemb.ly/education/python-for-data-science-intermediate/washington-dc/33187
21,2017-03-23T22:30:00.000Z,event,washington-dc,Building Brands People Love,http://generalassemb.ly/education/building-brands-people-love/washington-dc/33586
22,2017-03-25T14:00:00.000Z,workshop,washington-dc,Digital Marketing Bootcamp,http://generalassemb.ly/education/digital-marketing-bootcamp--2/washington-dc/33636
23,2017-03-25T14:00:00.000Z,workshop,washington-dc,User Experience Design Bootcamp,http://generalassemb.ly/education/user-experience-design-bootcamp/washington-dc/33625
24,2017-03-25T14:00:00.000Z,workshop,washington-dc,Introduction to Adobe Illustrator: Weekend Workshop,http://generalassemb.ly/education/introduction-to-adobe-illustrator-weekend-workshop/washington-dc/32442
25,2017-03-25T14:00:00.000Z,workshop,washington-dc,SQL Bootcamp,http://generalassemb.ly/education/sql-bootcamp/washington-dc/33633
26,2017-03-27T22:30:00.000Z,info-session,washington-dc,Digital Marketing Info Session,http://generalassemb.ly/education/digital-marketing/washington-dc/learn-more/6421
27,2017-03-28T22:30:00.000Z,event,washington-dc,Diversity In Tech,http://generalassemb.ly/education/diversity-in-tech/washington-dc/33294
28,2017-03-28T22:30:00.000Z,event,washington-dc,Break into the VC Community,http://generalassemb.ly/education/break-into-the-vc-community/washington-dc/33305
29,2017-03-29T22:30:00.000Z,info-session,washington-dc,Product Management Info Session,http://generalassemb.ly/education/product-management/washington-dc/learn-more/6430
30,2017-03-29T22:30:00.000Z,class,washington-dc,Communicating with Data,http://generalassemb.ly/education/communicating-with-data/washington-dc/33626
31,2017-03-30T22:30:00.000Z,class,washington-dc,Product Management 101,http://generalassemb.ly/education/product-management-101-f2ff0d2e-a76e-435e-b283-7567e6c7bf5f/washington-dc/33903
32,2017-04-03T22:30:00.000Z,info-session,washington-dc,Web Development Immersive Info Session,http://generalassemb.ly/education/web-development-immersive/washington-dc/learn-more/6500
33,2017-04-04T22:30:00.000Z,info-session,washington-dc,Front-End Web Development Info Session,http://generalassemb.ly/education/front-end-web-development/washington-dc/learn-more/6427
34,2017-04-04T22:30:00.000Z,workshop,washington-dc,Design Your Dream Job,http://generalassemb.ly/education/design-your-dream-job/washington-dc/33409
35,2017-04-05T22:30:00.000Z,class,washington-dc,Python Programming 101,http://generalassemb.ly/education/python-programming-101/washington-dc/35415
36,2017-04-06T22:30:00.000Z,info-session,washington-dc,Data Science Immersive Info Session,http://generalassemb.ly/education/data-science-immersive/washington-dc/learn-more/6499
37,2017-04-07T21:30:00.000Z,event,washington-dc,First Fridays at GA,http://generalassemb.ly/education/first-fridays-at-ga/washington-dc/33507
38,2017-04-08T14:00:00.000Z,workshop,washington-dc,Code in One Day: HTML & CSS Crash Course,http://generalassemb.ly/education/code-in-one-day-html-css-crash-course/washington-dc/35127
39,2017-04-08T17:00:00.000Z,event,washington-dc,BEYOND: Scaling Creative Business,http://generalassemb.ly/education/beyond-scaling-creative-business/washington-dc/35547
40,2017-04-10T22:30:00.000Z,info-session,washington-dc,Data Analytics Info Session,http://generalassemb.ly/education/data-analytics/washington-dc/learn-more/6417
41,2017-04-11T22:30:00.000Z,info-session,washington-dc,Data Science Info Session,http://generalassemb.ly/education/data-science/washington-dc/learn-more/6419
42,2017-04-11T22:30:00.000Z,workshop,washington-dc,Design Thinking Workshop,http://generalassemb.ly/education/design-thinking-workshop/washington-dc/35517
43,2017-04-12T22:30:00.000Z,event,washington-dc,When Robots Rule: A Talk With Robin Hanson,http://generalassemb.ly/education/when-robots-rule-a-talk-with-robin-hanson/washington-dc/35473
44,2017-04-12T22:30:00.000Z,workshop,washington-dc,Python for Data Science (Intermediate),http://generalassemb.ly/education/python-for-data-science-intermediate/washington-dc/35520
45,2017-04-13T22:30:00.000Z,info-session,washington-dc,User Experience Design Immersive Info Session,http://generalassemb.ly/education/user-experience-design-immersive/washington-dc/learn-more/6502
46,2017-04-15T04:00:00.000Z,course,washington-dc,Front-End Web Development,http://generalassemb.ly/education/front-end-web-development/washington-dc
47,2017-04-15T04:00:00.000Z,course,washington-dc,Data Science,http://generalassemb.ly/education/data-science/washington-dc
48,2017-04-15T14:00:00.000Z,workshop,washington-dc,Digital Marketing Bootcamp,http://generalassemb.ly/education/digital-marketing-bootcamp--2/washington-dc/35140
49,2017-04-15T14:00:00.000Z,workshop,washington-dc,Product Management Bootcamp,http://generalassemb.ly/education/product-management-bootcamp/washington-dc/35143
50,2017-04-17T22:30:00.000Z,class,washington-dc,Visual Design 101,http://generalassemb.ly/education/visual-design-101/washington-dc/35515
51,2017-04-18T22:30:00.000Z,info-session,washington-dc,Visual Design Info Session,http://generalassemb.ly/education/visual-design/washington-dc/learn-more/6423
52,2017-04-19T20:00:00.000Z,event,washington-dc,Web Developer Student Spotlight,http://generalassemb.ly/education/web-developer-student-spotlight/washington-dc/32031
53,2017-04-19T22:30:00.000Z,info-session,washington-dc,User Experience Design Info Session,http://generalassemb.ly/education/user-experience-design/washington-dc/learn-more/6425
54,2017-04-19T22:30:00.000Z,event,washington-dc,Break Into Web Development,http://generalassemb.ly/education/break-into-web-development/washington-dc/34015
55,2017-04-20T22:30:00.000Z,class,washington-dc,Python Programming 101,http://generalassemb.ly/education/python-programming-101/washington-dc/35417
56,2017-04-22T14:00:00.000Z,workshop,washington-dc,SQL Bootcamp,http://generalassemb.ly/education/sql-bootcamp/washington-dc/35175
57,2017-04-24T22:30:00.000Z,info-session,washington-dc,Product Management Info Session,http://generalassemb.ly/education/product-management/washington-dc/learn-more/6431
58,2017-04-25T04:00:00.000Z,course,washington-dc,Digital Marketing,http://generalassemb.ly/education/digital-marketing/washington-dc
59,2017-04-25T22:30:00.000Z,info-session,washington-dc,JavaScript Development Info Session,http://generalassemb.ly/education/javascript-development/washington-dc/learn-more/6429
60,2017-04-25T22:30:00.000Z,class,washington-dc,Crafting Stories with Data,http://generalassemb.ly/education/crafting-stories-with-data/washington-dc/35523
61,2017-04-29T14:00:00.000Z,workshop,washington-dc,User Experience Design Bootcamp,http://generalassemb.ly/education/user-experience-design-bootcamp/washington-dc/35142
62,2017-05-01T04:00:00.000Z,course,washington-dc,Data Analytics,http://generalassemb.ly/education/data-analytics/washington-dc
63,2017-05-01T04:00:00.000Z,course,washington-dc,User Experience Design,http://generalassemb.ly/education/user-experience-design/washington-dc
64,2017-05-01T13:00:00.000Z,immersive,washington-dc,Web Development Immersive,http://generalassemb.ly/education/web-development-immersive/washington-dc
65,2017-05-02T22:30:00.000Z,event,washington-dc,Break Into UX,http://generalassemb.ly/education/break-into-ux/washington-dc/35550
66,2017-05-05T21:30:00.000Z,event,washington-dc,First Fridays at GA,http://generalassemb.ly/education/first-fridays-at-ga/washington-dc/33509
67,2017-05-09T04:00:00.000Z,course,washington-dc,JavaScript Development,http://generalassemb.ly/education/javascript-development/washington-dc
68,2017-05-09T04:00:00.000Z,course,washington-dc,Visual Design,http://generalassemb.ly/education/visual-design/washington-dc
69,2017-05-15T22:30:00.000Z,class,washington-dc,Introduction to Google Analytics,http://generalassemb.ly/education/introduction-to-google-analytics/washington-dc/35529
70,2017-05-22T04:00:00.000Z,course,washington-dc,Front-End Web Development,http://generalassemb.ly/education/front-end-web-development/washington-dc
71,2017-05-23T04:00:00.000Z,course,washington-dc,User Experience Design,http://generalassemb.ly/education/user-experience-design/washington-dc
72,2017-05-30T04:00:00.000Z,course,washington-dc,Digital Marketing,http://generalassemb.ly/education/digital-marketing/washington-dc
73,2017-06-02T21:30:00.000Z,event,washington-dc,First Fridays at GA,http://generalassemb.ly/education/first-fridays-at-ga/washington-dc/33510
74,2017-06-05T04:00:00.000Z,course,washington-dc,Data Science,http://generalassemb.ly/education/data-science/washington-dc
